,id,year,day,min,glo_avg,dir_avg,diff_avg,lw_avg,par_avg,lux_avg,tp_sfc,humid,press,rain,ws_10m,wd_10m,day hour
30,11.0,2013.0,153,392.5,0.0,-0.4785333333333334,-1.2869999999999997,351.9466666666667,0.00025,0.0,21.64533333333333,78.31999999999998,970.7074999999999,0.0,1.2379333333333336,142.70166666666663,6.0
31,11.0,2013.0,153,452.5,0.0,0.18386666666666665,-1.1111833333333332,369.6883333333333,0.0,0.0,21.3165,80.71666666666667,971.1441666666665,0.0,0.8582666666666667,161.56499999999997,7.0
32,11.0,2013.0,153,512.5,0.8197333333333333,1.5045333333333335,0.40596666666666675,401.71999999999997,3.225516666666666,0.15103333333333332,21.653666666666666,80.58000000000001,971.3649999999998,0.0,1.1116166666666667,134.75166666666664,8.0
33,11.0,2013.0,153,572.5,70.84266666666666,188.40095,46.13966666666667,381.0516666666667,162.5825,8.097816666666667,22.475333333333335,78.01666666666667,971.7123333333333,0.0,1.0464,137.38666666666668,9.0
34,11.0,2013.0,153,632.5,159.17966666666666,32.23095,151.54,411.35833333333335,376.3733333333334,19.073,23.34,75.00500000000001,972.4259999999998,0.0,1.6872666666666662,124.205,10.0
35,11.0,2013.0,153,692.5,286.60833333333335,75.23013333333334,255.53166666666664,409.4216666666667,677.5733333333333,34.407333333333334,24.500666666666664,69.61666666666667,972.7853333333334,0.0,2.0808166666666668,159.38666666666668,11.0
36,11.0,2013.0,153,752.5,465.99500000000006,185.10073333333332,347.38000000000005,407.6116666666667,1094.9933333333333,55.52483333333334,25.535,66.42783333333334,972.8270000000001,0.0,1.97115,160.06666666666666,12.0
37,11.0,2013.0,153,812.5,651.7416666666668,289.79826666666673,442.5900000000001,410.1866666666667,1531.0333333333335,77.51249999999999,27.363833333333332,57.461833333333324,972.3505,0.0,2.459383333333333,150.5783333333333,13.0
38,11.0,2013.0,153,872.5,602.1183333333335,318.9359666666667,352.0766666666666,411.80999999999995,1417.6149999999998,71.64766666666667,28.38166666666667,52.94883333333333,971.4105000000001,0.0,2.1319500000000002,182.30666666666664,14.0
39,11.0,2013.0,153,932.5,511.15500000000003,309.8206333333333,273.92,410.86833333333334,1207.0166666666664,61.0485,29.269999999999996,49.11766666666666,970.3770000000001,0.0,2.387033333333333,194.13166666666666,15.0
40,11.0,2013.0,153,992.5,457.365,311.1544333333333,238.29833333333337,416.6666666666667,1081.2566666666667,54.57766666666666,30.55933333333334,42.88633333333332,969.311,0.0,2.598483333333333,175.4,16.0
41,11.0,2013.0,153,1052.5,284.11,163.99911666666665,196.45666666666668,421.555,672.4050000000001,33.86483333333334,30.619,42.055,968.8969999999999,0.0,2.858083333333333,181.64666666666665,17.0
42,11.0,2013.0,153,1112.5,150.179,89.84311666666667,115.82366666666668,425.1983333333333,354.855,17.81733333333333,30.525166666666667,41.487166666666674,968.7205000000002,0.0,3.0148500000000005,185.92833333333337,18.0
43,11.0,2013.0,153,1172.5,52.18516666666667,31.036933333333334,48.8085,405.0533333333333,134.01999999999998,6.49625,29.899999999999995,43.153166666666664,969.0588333333335,0.0,2.5858833333333338,191.35,19.0
44,11.0,2013.0,153,1232.5,8.488483333333333,34.90373333333333,6.9165,393.2633333333333,21.72026666666667,1.0449333333333335,29.483500000000003,43.3675,969.5076666666665,0.0,2.7149,194.72333333333333,20.0
45,11.0,2013.0,153,1292.5,0.0,-1.11765,-1.6017666666666666,375.97999999999996,0.00016666666666666666,0.0,28.1645,45.59033333333333,970.0414999999998,0.0,2.0811166666666665,193.6,21.0
46,11.0,2013.0,153,1352.5,0.0,-1.055233333333333,-1.4328,371.34999999999997,0.0004166666666666667,0.0,26.892,48.437999999999995,970.8199999999998,0.0,2.0082166666666668,188.63166666666666,22.0
47,11.0,2013.0,153,1388.5,0.0,-1.0015166666666664,-1.2991166666666667,368.92833333333334,0.00025,0.0,25.711,52.65666666666666,971.5408333333334,0.0,1.45395,181.8183333333333,23.0
48,11.0,2013.0,154,32.5,0.0,-0.7095666666666666,-1.3010666666666664,368.2483333333334,8.333333333333333e-05,0.0,24.887166666666662,56.41783333333333,972.1679999999998,0.0,1.1731166666666666,179.07000000000002,0.0
