,id,year,day,min,glo_avg,dir_avg,diff_avg,lw_avg,par_avg,lux_avg,tp_sfc,humid,press,rain,ws_10m,wd_10m,day hour
1,11.0,2013.0,121,17316.0,3096.085433333334,791.5518833333333,2578.1281,10000.655,7396.283466666667,376.3702166666666,25.666444444444448,72.98837499999999,970.2930624999999,1,2.2019395833333335,144.9679861111111,276.0
2,11.0,2013.0,122,17316.0,3868.9366666666674,2580.7091166666664,2277.8570499999996,9840.666666666668,9200.220916666665,466.15144999999995,25.105111111111114,73.98538194444446,970.5658333333334,0,2.256088888888889,148.23493055555556,276.0
3,11.0,2013.0,123,17316.0,3501.9421000000007,1610.1816,2741.2649833333335,9575.966666666667,8304.752716666668,421.51526666666666,25.917083333333334,66.25802083333333,969.9915208333333,0,2.5401416666666674,116.40270833333334,276.0
4,11.0,2013.0,124,17316.0,5923.1704666666665,6983.044783333333,1186.7593833333335,8782.086666666668,13753.755866666666,697.1136000000001,26.18404861111111,57.7088611111111,969.4510416666666,0,2.433524305555555,133.79069444444445,276.0
5,11.0,2013.0,125,17316.0,5663.596816666667,6425.844616666667,1379.8659500000003,8947.908333333331,13238.160416666668,671.76825,26.73026388888889,56.55441666666667,969.4951875,0,2.2066548611111108,131.18770833333335,276.0
6,11.0,2013.0,126,17316.0,6009.971733333333,8029.3664333333345,980.3309666666664,9115.498333333331,14153.795083333334,717.6560999999999,27.665513888888885,50.93673611111111,969.6915694444443,0,1.9602138888888894,109.16909722222225,276.0
7,11.0,2013.0,127,17316.0,3887.1477333333332,707.5442666666665,3442.545000000001,9506.028333333334,9288.114816666666,469.1439166666667,28.09141666666667,51.348131944444454,970.2871388888889,1,1.695111111111111,115.46756944444449,276.0
8,11.0,2013.0,128,17316.0,5124.73265,4765.722066666667,2072.70205,9464.759999999998,12017.540616666667,609.1653,28.30845833333333,50.845194444444445,970.5732569444443,0,1.750304166666667,110.2120138888889,276.0
9,11.0,2013.0,129,17316.0,2883.86915,1230.1373166666667,2081.2205999999996,7825.915000000002,6884.072183333333,347.85128333333336,22.512055555555552,44.48955555555556,780.8034444444444,0,2.5657284722222222,104.48354166666668,276.0
10,11.0,2013.0,130,17316.0,3962.7742166666667,1431.8616333333332,2958.088083333333,9664.093333333334,9496.061699999998,479.37046666666663,26.24627777777778,62.631097222222216,972.208777777778,0,3.6426354166666663,138.06111111111113,276.0
11,11.0,2013.0,131,17316.0,3191.3904166666666,1107.2441999999999,2583.5983166666665,9856.558333333334,7617.671316666666,383.91204999999997,25.205,62.98288194444444,972.2710000000001,0,3.686770138888889,148.8818055555556,276.0
12,11.0,2013.0,132,17316.0,3782.1504500000005,2524.4410166666667,2398.9848166666666,9641.281666666668,9001.4421,454.3779833333333,25.586645833333336,67.82877777777779,970.9050555555556,0,2.906116666666667,155.55402777777778,276.0
13,11.0,2013.0,133,17316.0,4895.967166666667,4615.477133333333,2268.860383333334,9067.568333333333,11363.63615,576.47705,25.75036805555556,62.425159722222226,970.5854444444444,0,2.9897263888888896,146.08652777777777,276.0
14,11.0,2013.0,134,17316.0,4756.025083333334,3797.8267833333325,2412.3992166666662,9463.515000000001,11072.61826666667,560.9652833333334,26.38416666666667,61.35227777777777,970.5342847222224,0,3.2165555555555563,141.0297222222222,276.0
15,11.0,2013.0,135,17316.0,5654.917966666667,6483.279283333333,1349.6789166666667,9350.793333333335,13110.169916666668,665.6326166666666,26.77243055555556,56.14654166666666,970.3597916666666,0,3.7970638888888892,131.07402777777776,276.0
16,11.0,2013.0,136,17316.0,2881.2618999999995,929.8835500000002,2500.040633333333,9776.466666666667,6862.324350000001,345.6267666666667,26.42113194444445,60.16507638888888,969.7315972222223,0,2.8530104166666668,149.93881944444442,276.0
17,11.0,2013.0,137,17316.0,3557.9437166666667,2717.286816666666,2209.910616666667,9760.725,8439.52348333333,424.4296833333333,26.2508125,68.28979861111112,970.3724652777778,0,3.0810180555555564,155.0509722222222,276.0
18,11.0,2013.0,138,17316.0,4852.3654166666665,3707.6695,2354.1105833333336,9742.650000000001,11440.796899999998,577.0597666666666,26.326597222222222,62.782298611111116,971.5651666666668,0,3.2314444444444437,156.0198611111111,276.0
19,11.0,2013.0,139,17316.0,4028.29,2892.676,2749.2535999999996,9250.383333333333,9432.4353,476.87035000000003,25.66089583333333,62.94492361111111,972.2029722222223,0,2.979552777777778,153.40965277777772,276.0
20,11.0,2013.0,140,17316.0,3440.4081166666665,1292.5460666666668,2867.2210833333334,9682.725,8118.872666666667,410.50488333333334,25.376506944444444,68.0866875,971.1186597222222,0,2.587003472222222,138.79756944444443,276.0
21,11.0,2013.0,141,17316.0,4331.0968,3286.60175,2291.1412666666665,9193.993333333332,10183.190799999998,514.42415,25.24929861111111,66.99794444444444,969.2862638888888,0,1.729543055555556,140.32722222222222,276.0
22,11.0,2013.0,142,17316.0,5416.75495,6428.640516666667,1362.0026666666668,9021.833333333334,12701.006866666667,641.87825,26.431131944444445,61.458145833333326,968.6535416666667,0,1.984130555555555,135.32194444444448,276.0
23,11.0,2013.0,143,17316.0,3994.033616666667,2943.9848833333335,2408.2106166666663,8876.515,9293.204266666666,470.0741333333333,25.804104166666672,60.290944444444456,969.0219027777779,0,2.0774055555555555,119.1352777777778,276.0
24,11.0,2013.0,144,17316.0,5425.358216666666,5766.129050000001,1772.4148333333337,9027.521666666664,12660.303283333331,639.4291999999999,26.911027777777775,57.705541666666676,968.7621736111113,0,1.8363270833333332,121.4515277777778,276.0
