,id,year,day,min,glo_avg,dir_avg,diff_avg,lw_avg,par_avg,lux_avg,tp_sfc,humid,press,rain,ws_10m,wd_10m,day hour
1,11.0,2014.0,152,17316.0,3706.5981833333335,2710.9173833333334,2536.0453333333335,9044.284999999998,9579.006149999997,458.70976666666667,25.04421527777777,59.815819444444436,969.8693055555559,0,2.2851194444444443,152.59993055555557,276.0
2,11.0,2014.0,153,17316.0,5601.724666666667,7896.115816666666,848.2970166666668,8656.831666666665,14285.90316666667,690.2305833333332,25.664145833333336,56.49972916666667,968.2688194444444,0,2.0960909722222225,130.91305555555556,276.0
3,11.0,2014.0,154,17316.0,5639.980116666667,8066.407966666668,806.8407333333332,8753.788333333334,14365.4584,691.9282999999999,26.31136805555556,48.61416666666667,968.0154027777777,1,1.711160416666667,127.23569444444443,276.0
4,11.0,2014.0,155,17316.0,5643.080400000001,8382.708833333334,727.24575,8897.738333333333,14381.081299999996,693.8358999999998,27.527597222222216,48.29346527777778,968.9497361111112,0,2.6862208333333335,127.52979166666664,276.0
5,11.0,2014.0,156,17316.0,5294.360216666667,6848.432499999999,1195.4237833333334,8936.519999999999,13556.599516666667,654.1204666666666,27.274333333333335,53.55089583333335,969.4798055555556,0,3.215822916666666,130.88479166666664,276.0
6,11.0,2014.0,157,17316.0,3755.2369666666673,2397.4589,2446.797583333333,9461.191666666664,9663.668899999999,463.2140166666667,26.739638888888887,57.2826875,968.9647916666667,0,3.050505555555556,123.64618055555555,276.0
7,11.0,2014.0,158,17316.0,4310.510233333333,4465.328116666667,1857.8950833333336,9300.115000000002,10992.169666666665,527.8661166666667,27.07558333333333,55.19665972222223,969.0167013888887,0,3.2290770833333333,124.78798611111112,276.0
8,11.0,2014.0,159,17316.0,4836.287766666666,4705.557799999999,2069.5476333333336,9121.341666666667,12337.626966666667,595.6032166666665,26.034895833333337,57.60849999999999,970.0965625,0,2.876836111111111,146.84868055555552,276.0
9,11.0,2014.0,160,17316.0,5246.672533333333,6785.905916666666,1453.1566,8872.163333333332,13421.788983333332,646.7286499999999,26.055722222222226,59.443236111111126,971.7764097222224,0,2.793071527777778,165.42722222222224,276.0
10,11.0,2014.0,161,17316.0,2751.3163333333337,407.5566333333333,2548.8364166666665,9750.374999999998,7239.117383333334,347.66354999999993,25.053972222222225,69.25220833333331,972.5549027777779,0,3.1356263888888893,153.4797916666667,276.0
11,11.0,2014.0,162,17316.0,3703.545866666667,2816.0493666666666,2391.371466666667,9179.425,9494.734566666666,455.42133333333334,25.565840277777777,58.78132638888888,972.5038680555557,0,4.044313888888888,140.03437499999998,276.0
12,11.0,2014.0,163,17316.0,5484.79225,7458.476933333334,1036.6784333333333,8537.830000000002,13849.191133333332,669.0923,25.563555555555556,56.35108333333333,972.0130763888889,0,3.346828472222222,137.71951388888888,276.0
13,11.0,2014.0,164,17316.0,4945.090266666667,5378.835133333334,1573.1726499999997,9180.408333333333,12642.988616666667,611.26585,25.634527777777777,62.690999999999995,972.7297430555558,0,3.0917770833333336,129.8779861111111,276.0
14,11.0,2014.0,165,17316.0,5013.093866666666,5196.450616666666,1855.0681666666667,8987.119999999999,12799.5146,617.7211666666667,25.922638888888894,55.382312500000005,972.2398263888889,0,2.7297833333333337,138.1920138888889,276.0
15,11.0,2014.0,166,17316.0,5072.212933333333,6552.43185,1223.1699333333333,8624.984999999999,12969.7133,626.1629833333334,26.14365972222222,50.32454861111111,971.7283194444444,0,3.0258180555555545,141.1446527777778,276.0
16,11.0,2014.0,167,17316.0,4558.896383333334,5207.971233333333,1753.5717833333333,8664.185000000001,11666.362666666664,561.87775,24.310715277777778,56.4410138888889,972.5690208333332,0,3.2443972222222226,139.4129861111111,276.0
17,11.0,2014.0,168,17316.0,3458.7560166666663,1692.9595166666666,2480.925466666667,9397.153333333335,9011.708799999999,432.21111666666667,24.704944444444447,67.68724999999999,973.1215138888891,0,2.960728472222222,149.42333333333332,276.0
18,11.0,2014.0,169,17316.0,2426.6541833333335,80.75524999999999,2491.8251333333333,9997.571666666667,6396.817683333335,304.87485,25.069777777777777,66.04644444444445,973.837361111111,0,3.1839937500000004,149.03826388888888,276.0
19,11.0,2014.0,170,17316.0,2614.4659500000002,867.4686166666665,2250.5028166666666,9958.633333333333,6884.678199999998,328.9263666666667,25.241402777777775,63.68788194444445,974.2677291666668,0,2.408061111111111,151.88722222222225,276.0
20,11.0,2014.0,171,17316.0,4761.438733333334,5067.424633333334,1781.1841166666668,9383.304999999998,12124.805933333335,584.73425,24.78268055555556,68.28337500000002,973.3641250000001,0,3.0577958333333335,145.71645833333335,276.0
21,11.0,2014.0,172,17316.0,5504.092266666667,7680.932566666667,990.6690333333332,8450.16,13900.996633333332,672.0627000000001,24.59147916666667,58.904597222222236,973.0804513888888,0,2.868718055555556,145.00951388888888,276.0
22,11.0,2014.0,173,17316.0,3149.189183333333,1034.2263,2687.7577499999998,9388.214999999998,8136.574750000002,389.0814333333334,24.949534722222225,61.23133333333334,973.002,0,3.3389631944444442,141.79305555555553,276.0
23,11.0,2014.0,174,17316.0,3601.4892666666665,2521.2322666666664,2398.1211166666667,9171.403333333335,9344.35703333333,448.18520000000007,24.356993055555552,65.25168749999999,974.3068263888886,0,3.529468055555555,143.66875,276.0
24,11.0,2014.0,175,17316.0,2301.440983333333,266.4404333333334,2224.018966666667,9450.185000000003,6077.374000000001,291.8491833333334,22.880631944444445,73.61943055555555,974.2578194444446,1,3.260228472222222,152.0267361111111,276.0
