11;2014;121;48;-1.175;-0.207;0.000;414.4;-0.040;-0.015;24.54;64.40;970.33;0;3.372;139.3
11;2014;121;49;-1.170;-0.207;0.000;414.8;-0.020;-0.015;24.52;64.82;970.33;0;4.173;140.3
11;2014;121;50;-1.183;-0.207;0.000;414.9;-0.045;-0.014;24.51;64.69;970.39;0;4.133;149.4
11;2014;121;51;-1.163;-0.207;0.000;415.0;-0.025;-0.014;24.50;64.69;970.39;0;3.747;143.6
11;2014;121;52;-1.111;-0.207;0.000;414.8;-0.040;-0.014;24.50;64.63;970.27;0;3.522;153.4
11;2014;121;53;-1.124;-0.207;0.000;414.7;-0.010;-0.015;24.51;64.53;970.39;0;3.707;136.9
11;2014;121;54;-1.124;-0.207;0.000;415.0;-0.040;-0.015;24.51;64.59;970.39;0;3.144;147.2
11;2014;121;55;-1.148;-0.207;0.000;414.9;-0.025;-0.015;24.50;64.79;970.39;0;4.227;143.0
11;2014;121;56;-1.158;-0.207;0.000;414.6;-0.045;-0.015;24.49;64.82;970.39;0;3.359;141.5
11;2014;121;57;-1.205;-0.207;0.000;414.4;-0.035;-0.015;24.48;64.79;970.39;0;3.854;138.1
11;2014;121;58;-1.185;-0.207;0.000;414.9;-0.015;-0.013;24.49;64.66;970.39;0;3.851;144.5
11;2014;121;59;-1.175;-0.207;0.000;415.4;-0.066;-0.015;24.48;64.89;970.39;0;3.260;140.2
11;2014;121;60;-1.148;-0.207;0.000;415.6;-0.055;-0.015;24.48;64.95;970.45;0;3.637;145.2
11;2014;121;61;-1.143;-0.207;0.000;415.1;-0.101;-0.015;24.46;64.89;970.39;0;2.589;143.4
11;2014;121;62;-1.170;-0.207;0.000;413.4;-0.045;-0.015;24.45;65.25;970.39;0;3.021;144.8
11;2014;121;63;-1.259;-0.207;0.000;411.0;-0.045;-0.015;24.43;65.28;970.39;0;4.163;138.9
11;2014;121;64;-1.261;-0.207;0.000;408.4;-0.040;-0.013;24.40;65.31;970.39;0;3.979;141.7
11;2014;121;65;-1.288;-0.207;0.000;406.2;-0.020;-0.014;24.40;65.25;970.39;0;2.559;157.5
11;2014;121;66;-1.305;-0.207;0.000;404.5;-0.050;-0.015;24.40;65.48;970.39;0;3.935;141.6
11;2014;121;67;-1.322;-0.207;0.000;402.9;-0.071;-0.015;24.38;65.41;970.39;0;3.929;144.8
11;2014;121;68;-1.327;-0.213;0.000;400.9;-0.071;-0.015;24.37;65.31;970.33;0;4.153;146.4
11;2014;121;69;-1.352;-0.238;0.000;399.6;0;-0.015;24.36;65.48;970.33;0;3.178;146.9
11;2014;121;70;-1.384;-0.282;0.000;397.2;-0.055;-0.014;24.35;65.77;970.33;0;3.731;149.5
